Type,Type2,Price,Sold Date,Bedrooms,Bathrooms,Area,Acres,Age,DoM,Unit No,Building No,Street,City,Address
Apartment,Upper Unit,556750,13/01/2018,3,2,890,,14,95,1109,3663,"CROWLEY DRIVE,",Vancouver,"1109, 3663 CROWLEY DRIVE, Vancouver"
Apartment,Upper Unit,556750,13/01/2018,3,2,890,,14,95,1109,3663,"CROWLEY DRIVE,",Vancouver,"1109, 3663 CROWLEY DRIVE, Vancouver"
Apartment,Upper Unit,556750,13/01/2018,3,2,890,,14,95,1109,3663,"CROWLEY DRIVE,",Vancouver,"1109, 3663 CROWLEY DRIVE, Vancouver"
Apartment,Upper Unit,556750,13/01/2018,3,2,890,,14,95,1109,3663,"CROWLEY DRIVE,",Vancouver,"1109, 3663 CROWLEY DRIVE, Vancouver"
Apartment,Upper Unit,556750,13/01/2018,3,2,890,,14,95,1109,3663,"CROWLEY DRIVE,",Vancouver,"1109, 3663 CROWLEY DRIVE, Vancouver"
Apartment,Upper Unit,556750,13/01/2018,3,2,890,,14,95,1109,3663,"CROWLEY DRIVE,",Vancouver,"1109, 3663 CROWLEY DRIVE, Vancouver"
Apartment,Upper Unit,556750,13/01/2018,3,2,890,,14,95,1109,3663,"CROWLEY DRIVE,",Vancouver,"1109, 3663 CROWLEY DRIVE, Vancouver"
Apartment,1 Storey,420750,30/09/2017,2,1,659,,13,76,810,3663,"CROWLEY DRIVE,",Vancouver,"810, 3663 CROWLEY DRIVE, Vancouver"
Apartment,"Corner Unit, Upper Unit",567800,29/09/2017,3,2,820,,13,57,2209,3663,"CROWLEY DRIVE,",Vancouver,"2209, 3663 CROWLEY DRIVE, Vancouver"
Apartment,"Corner Unit, Upper Unit",567800,29/09/2017,3,2,820,,13,57,2209,3663,"CROWLEY DRIVE,",Vancouver,"2209, 3663 CROWLEY DRIVE, Vancouver"
Apartment,"Corner Unit, Upper Unit",567800,29/09/2017,3,2,820,,13,57,2209,3663,"CROWLEY DRIVE,",Vancouver,"2209, 3663 CROWLEY DRIVE, Vancouver"
Apartment,"Corner Unit, Upper Unit",567800,29/09/2017,3,2,820,,13,57,2209,3663,"CROWLEY DRIVE,",Vancouver,"2209, 3663 CROWLEY DRIVE, Vancouver"
Apartment,"Corner Unit, Upper Unit",567800,29/09/2017,3,2,820,,13,57,2209,3663,"CROWLEY DRIVE,",Vancouver,"2209, 3663 CROWLEY DRIVE, Vancouver"
Apartment,"Corner Unit, Upper Unit",567800,29/09/2017,3,2,820,,13,57,2209,3663,"CROWLEY DRIVE,",Vancouver,"2209, 3663 CROWLEY DRIVE, Vancouver"
Apartment,Corner Unit,527000,24/09/2017,3,2,880,,13,35,507,3663,"CROWLEY DRIVE,",Vancouver,"507, 3663 CROWLEY DRIVE, Vancouver"
Apartment,Corner Unit,527000,24/09/2017,3,2,880,,13,35,507,3663,"CROWLEY DRIVE,",Vancouver,"507, 3663 CROWLEY DRIVE, Vancouver"
Apartment,Corner Unit,527000,24/09/2017,3,2,880,,13,35,507,3663,"CROWLEY DRIVE,",Vancouver,"507, 3663 CROWLEY DRIVE, Vancouver"
Apartment,Corner Unit,527000,24/09/2017,3,2,880,,13,35,507,3663,"CROWLEY DRIVE,",Vancouver,"507, 3663 CROWLEY DRIVE, Vancouver"
Apartment,Corner Unit,527000,24/09/2017,3,2,880,,13,35,507,3663,"CROWLEY DRIVE,",Vancouver,"507, 3663 CROWLEY DRIVE, Vancouver"
Apartment,Corner Unit,510000,09/08/2017,3,1,835,,13,11,203,3663,"CROWLEY DRIVE,",Vancouver,"203, 3663 CROWLEY DRIVE, Vancouver"
Apartment,1 Storey,425000,08/08/2018,2,1,753,,13,5,408,3660,"VANNESS AVENUE,",Vancouver,"408, 3660 VANNESS AVENUE, Vancouver"
Apartment,1 Storey,396100,28/02/2018,2,1,564,,13,2,501,3660,"VANNESS AVENUE,",Vancouver,"501, 3660 VANNESS AVENUE, Vancouver"
Apartment,Upper Unit,365500,30/09/2017,1,1,434,,12,6,412,3660,"VANNESS AVENUE,",Vancouver,"412, 3660 VANNESS AVENUE, Vancouver"
Apartment,Ground Level Unit,325125,12/04/2017,1,1,494,,12,17,111,3660,"VANNESS AVENUE,",Vancouver,"111, 3660 VANNESS AVENUE, Vancouver"
Apartment,Corner Unit,578000,11/10/2017,3,2,925,,12,14,609,3660,"VANNESS AVENUE,",Vancouver,"609, 3660 VANNESS AVENUE, Vancouver"
Apartment,Corner Unit,578000,11/10/2017,3,2,925,,12,14,609,3660,"VANNESS AVENUE,",Vancouver,"609, 3660 VANNESS AVENUE, Vancouver"
Apartment,Corner Unit,578000,11/10/2017,3,2,925,,12,14,609,3660,"VANNESS AVENUE,",Vancouver,"609, 3660 VANNESS AVENUE, Vancouver"
Apartment,Corner Unit,578000,11/10/2017,3,2,925,,12,14,609,3660,"VANNESS AVENUE,",Vancouver,"609, 3660 VANNESS AVENUE, Vancouver"
Apartment,Corner Unit,578000,11/10/2017,3,2,925,,12,14,609,3660,"VANNESS AVENUE,",Vancouver,"609, 3660 VANNESS AVENUE, Vancouver"
Apartment,Corner Unit,578000,11/10/2017,3,2,925,,12,14,609,3660,"VANNESS AVENUE,",Vancouver,"609, 3660 VANNESS AVENUE, Vancouver"
Apartment,"Corner Unit, Upper Unit",586967.5,10/03/2017,3,2,925,,12,68,1409,3660,"VANNESS AVENUE,",Vancouver,"1409, 3660 VANNESS AVENUE, Vancouver"
Apartment,"Corner Unit, Upper Unit",586967.5,10/03/2017,3,2,925,,12,68,1409,3660,"VANNESS AVENUE,",Vancouver,"1409, 3660 VANNESS AVENUE, Vancouver"
Apartment,"Corner Unit, Upper Unit",586967.5,10/03/2017,3,2,925,,12,68,1409,3660,"VANNESS AVENUE,",Vancouver,"1409, 3660 VANNESS AVENUE, Vancouver"
Apartment,"Corner Unit, Upper Unit",586967.5,10/03/2017,3,2,925,,12,68,1409,3660,"VANNESS AVENUE,",Vancouver,"1409, 3660 VANNESS AVENUE, Vancouver"
Apartment,"Corner Unit, Upper Unit",586967.5,10/03/2017,3,2,925,,12,68,1409,3660,"VANNESS AVENUE,",Vancouver,"1409, 3660 VANNESS AVENUE, Vancouver"
House,Rancher w/Bsmt.,1487500,06/08/2018,6,2,2234,0.08,91,156,,3656,"BLENHEIM STREET,",Vancouver,"3656 BLENHEIM STREET, Vancouver"
House,Rancher w/Bsmt.,1487500,06/08/2018,6,2,2234,0.08,91,156,,3656,"BLENHEIM STREET,",Vancouver,"3656 BLENHEIM STREET, Vancouver"
Townhouse,"1 Storey, Ground Level Unit",633250,11/07/2017,3,1,766,,12,8,,3653,"COMMERCIAL STREET,",Vancouver,"3653 COMMERCIAL STREET, Vancouver"
Apartment,"Corner Unit, Penthouse",458054.8,15/12/2017,2,1,603,,11,11,410,3651,"FOSTER AVENUE,",Vancouver,"410, 3651 FOSTER AVENUE, Vancouver"
House,2 Storey w/Bsmt.,1326000,21/07/2017,7,3,2318,0.07,112,117,,3645,"FRASER STREET,",Vancouver,"3645 FRASER STREET, Vancouver"
House,3 Storey,1508750,06/03/2018,5,4,3597,0.14,30,115,,3643,"MCGILL STREET,",Vancouver,"3643 MCGILL STREET, Vancouver"
Townhouse,End Unit,866150,24/12/2017,3,2,1417,0.12,37,51,201,3641,"W 29TH AVENUE,",Vancouver,"201, 3641 W 29TH AVENUE, Vancouver"
Apartment,Ground Level Unit,249900,08/10/2018,1,1,414,,14,39,110,3638,"VANNESS AVENUE,",Vancouver,"110, 3638 VANNESS AVENUE, Vancouver"
Apartment,End Unit,678300,08/09/2018,3,2,895,,24,6,202,3638,"W BROADWAY,",Vancouver,"202, 3638 W BROADWAY, Vancouver"
Apartment,Upper Unit,437750,08/04/2018,2,1,650,,24,3,307,3638,"W BROADWAY STREET,",Vancouver,"307, 3638 W BROADWAY STREET, Vancouver"
Apartment,1 Storey,573750,26/06/2017,3,1,770,,23,8,204,3638,"W BROADWAY,",Vancouver,"204, 3638 W BROADWAY, Vancouver"
Apartment,1 Storey,573750,26/06/2017,3,1,770,,23,8,204,3638,"W BROADWAY,",Vancouver,"204, 3638 W BROADWAY, Vancouver"
Apartment,1 Storey,573750,26/06/2017,3,1,770,,23,8,204,3638,"W BROADWAY,",Vancouver,"204, 3638 W BROADWAY, Vancouver"
Apartment,1 Storey,573750,26/06/2017,3,1,770,,23,8,204,3638,"W BROADWAY,",Vancouver,"204, 3638 W BROADWAY, Vancouver"
Apartment,1 Storey,573750,26/06/2017,3,1,770,,23,8,204,3638,"W BROADWAY,",Vancouver,"204, 3638 W BROADWAY, Vancouver"
Apartment,"1 Storey, Ground Level Unit",412250,10/10/2017,2,1,575,,13,2,102,3638,"VANNESS AVENUE,",Vancouver,"102, 3638 VANNESS AVENUE, Vancouver"
Apartment,1 Storey,378250,10/12/2017,2,1,675,,25,14,104,3638,"RAE AVENUE,",Vancouver,"104, 3638 RAE AVENUE, Vancouver"
Townhouse,"2 Storey, Penthouse",722500,14/12/2017,3,2,882,,16,4,401,3637,"W 17TH AVENUE,",Vancouver,"401, 3637 W 17TH AVENUE, Vancouver"
Townhouse,2 Storey,764150,14/12/2017,3,2,1073,,34,10,104,3626,"W 28TH AVENUE,",Vancouver,"104, 3626 W 28TH AVENUE, Vancouver"
Townhouse,2 Storey,879750,14/12/2017,3,2,1194,,33,33,103,3626,"W 28TH AVENUE,",Vancouver,"103, 3626 W 28TH AVENUE, Vancouver"
Apartment,"End Unit, Upper Unit",518500,09/06/2017,3,2,942,,22,9,305,3624,"FRASER STREET,",Vancouver,"305, 3624 FRASER STREET, Vancouver"
Apartment,"End Unit, Upper Unit",518500,09/06/2017,3,2,942,,22,9,305,3624,"FRASER STREET,",Vancouver,"305, 3624 FRASER STREET, Vancouver"
Apartment,"End Unit, Upper Unit",518500,09/06/2017,3,2,942,,22,9,305,3624,"FRASER STREET,",Vancouver,"305, 3624 FRASER STREET, Vancouver"
Apartment,"Corner Unit, Penthouse",1083750,24/10/2017,3,2,1452,,26,43,408,3621,"W 26TH AVENUE,",Vancouver,"408, 3621 W 26TH AVENUE, Vancouver"
Apartment,"End Unit, Upper Unit",551650,10/10/2017,3,2,950,,26,9,301,3621,"W 26TH AVENUE,",Vancouver,"301, 3621 W 26TH AVENUE, Vancouver"
Apartment,"End Unit, Upper Unit",551650,10/10/2017,3,2,950,,26,9,301,3621,"W 26TH AVENUE,",Vancouver,"301, 3621 W 26TH AVENUE, Vancouver"
House,2 Storey w/Bsmt.,3102500,09/08/2017,6,6,4362,0.17,25,34,,3619,"BLENHEIM STREET,",Vancouver,"3619 BLENHEIM STREET, Vancouver"
House,3 Storey,1096500,16/09/2017,7,3,2108,0.08,26,4,,3603,"NAPIER STREET,",Vancouver,"3603 NAPIER STREET, Vancouver"
Apartment,Corner Unit,1128800,18/08/2017,3,2,1178,,11,88,301,3595,"W 18TH AVENUE,",Vancouver,"301, 3595 W 18TH AVENUE, Vancouver"
Townhouse,"2 Storey, Inside Unit",1075250,23/06/2017,3,3,1321,,11,29,102,3595,"W 18TH AVENUE,",Vancouver,"102, 3595 W 18TH AVENUE, Vancouver"
Apartment,"Corner Unit, End Unit",515100,16/04/2018,3,1,827,,22,12,204,3590,"W 26TH AVENUE,",Vancouver,"204, 3590 W 26TH AVENUE, Vancouver"
Apartment,"Corner Unit, End Unit",515100,16/04/2018,3,1,827,,22,12,204,3590,"W 26TH AVENUE,",Vancouver,"204, 3590 W 26TH AVENUE, Vancouver"
Apartment,Upper Unit,454750,26/09/2017,2,1,717,,21,26,205,3590,"W 26TH AVENUE,",Vancouver,"205, 3590 W 26TH AVENUE, Vancouver"
House with Acreage,"3 Storey, Carriage/Coach House",7129800,05/01/2018,9,7,8895,0.76,107,71,,3589,"GRANVILLE STREET,",Vancouver,"3589 GRANVILLE STREET, Vancouver"
Apartment,"Corner Unit, Upper Unit",616250,22/02/2018,4,2,982,,20,74,416,3588,"VANNESS AVENUE,",Vancouver,"416, 3588 VANNESS AVENUE, Vancouver"
Apartment,1 Storey,433500,13/10/2017,2,1,705,,15,6,109,3588,"CROWLEY DRIVE,",Vancouver,"109, 3588 CROWLEY DRIVE, Vancouver"
Apartment,End Unit,424150,17/08/2017,2,1,677,,15,14,212,3588,"CROWLEY DRIVE,",Vancouver,"212, 3588 CROWLEY DRIVE, Vancouver"
Apartment,"1 Storey, Inside Unit",340000,17/07/2017,1,1,440,,15,1,313,3588,"CROWLEY DRIVE,",Vancouver,"313, 3588 CROWLEY DRIVE, Vancouver"
Apartment,"1 Storey, Inside Unit",340000,17/07/2017,1,1,440,,15,1,313,3588,"CROWLEY DRIVE,",Vancouver,"313, 3588 CROWLEY DRIVE, Vancouver"
Apartment,"1 Storey, Inside Unit",323425,10/11/2017,1,1,425,,15,4,315,3588,"CROWLEY DRIVE,",Vancouver,"315, 3588 CROWLEY DRIVE, Vancouver"
Apartment,"1 Storey, Corner Unit",603500,09/04/2017,4,2,982,,20,10,316,3588,"VANNESS AVENUE,",Vancouver,"316, 3588 VANNESS AVENUE, Vancouver"
House,4 Level Split,1275000,24/10/2017,4,4,2706,0.1,108,9,,3585,"MARSHALL STREET,",Vancouver,"3585 MARSHALL STREET, Vancouver"
House,4 Level Split,1275000,24/10/2017,4,4,2706,0.1,108,9,,3585,"MARSHALL STREET,",Vancouver,"3585 MARSHALL STREET, Vancouver"
Apartment,"Corner Unit, Upper Unit",593300,17/08/2017,4,2,1021,,19,9,209,3583,"CROWLEY DRIVE,",Vancouver,"209, 3583 CROWLEY DRIVE, Vancouver"
Apartment,"Corner Unit, Upper Unit",593300,17/08/2017,4,2,1021,,19,9,209,3583,"CROWLEY DRIVE,",Vancouver,"209, 3583 CROWLEY DRIVE, Vancouver"
Apartment,"Corner Unit, Upper Unit",593300,17/08/2017,4,2,1021,,19,9,209,3583,"CROWLEY DRIVE,",Vancouver,"209, 3583 CROWLEY DRIVE, Vancouver"
Townhouse,3 Storey,577150,25/12/2017,4,2,1416,,23,17,3,3582,"WHITNEY PLACE,",Vancouver,"3, 3582 WHITNEY PLACE, Vancouver"
Townhouse,3 Storey,577150,25/12/2017,4,2,1416,,23,17,3,3582,"WHITNEY PLACE,",Vancouver,"3, 3582 WHITNEY PLACE, Vancouver"
Townhouse,3 Storey,577150,25/12/2017,4,2,1416,,23,17,3,3582,"WHITNEY PLACE,",Vancouver,"3, 3582 WHITNEY PLACE, Vancouver"
Townhouse,3 Storey,577150,25/12/2017,4,2,1416,,23,17,3,3582,"WHITNEY PLACE,",Vancouver,"3, 3582 WHITNEY PLACE, Vancouver"
Townhouse,3 Storey,577150,25/12/2017,4,2,1416,,23,17,3,3582,"WHITNEY PLACE,",Vancouver,"3, 3582 WHITNEY PLACE, Vancouver"
House,3 Storey,1290300,25/12/2017,6,3,2017,0.08,24,2,,3577,"WILLIAM STREET,",Vancouver,"3577 WILLIAM STREET, Vancouver"
Apartment,"Corner Unit, End Unit",436900,28/09/2017,2,1,694,,13,9,307,3575,"EUCLID AVENUE,",Vancouver,"307, 3575 EUCLID AVENUE, Vancouver"
Apartment,"Corner Unit, Ground Level Unit",442000,10/11/2017,2,1,693,,13,6,106,3575,"EUCLID AVENUE,",Vancouver,"106, 3575 EUCLID AVENUE, Vancouver"
House,2 Storey,1343000,09/01/2017,6,2,2233,0.09,53,6,,3566,"MOSCROP STREET,",Vancouver,"3566 MOSCROP STREET, Vancouver"
House,2 Storey w/Bsmt.,1338750,14/12/2017,5,4,3477,0.09,108,74,,3561,"WELWYN STREET,",Vancouver,"3561 WELWYN STREET, Vancouver"
House,3 Storey,1217625,10/09/2017,6,3,2348,0.09,105,32,,3560,"TRIUMPH STREET,",Vancouver,"3560 TRIUMPH STREET, Vancouver"
Apartment,5 Plus Level,414800,08/02/2018,2,1,537,,1 year,22,207,3557,"SAWMILL CRESCENT,",Vancouver,"207, 3557 SAWMILL CRESCENT, Vancouver"
Apartment,"1 Storey, Upper Unit",467500,15/03/2018,2,1,669,,1 year,4,802,3557,"SAWMILL CRESCENT,",Vancouver,"802, 3557 SAWMILL CRESCENT, Vancouver"
Apartment,"1 Storey, Upper Unit",467500,15/03/2018,2,1,669,,1 year,4,802,3557,"SAWMILL CRESCENT,",Vancouver,"802, 3557 SAWMILL CRESCENT, Vancouver"
Apartment,"5 Plus Level, Corner Unit",663000,05/12/2018,3,2,945,,1 year,88,212,3557,"SAWMILL CRESCENT,",Vancouver,"212, 3557 SAWMILL CRESCENT, Vancouver"
Apartment,5 Plus Level,408000,15/01/2017,2,1,495,,New,5,819,3557,"SAWMILL CRESCENT,",Vancouver,"819, 3557 SAWMILL CRESCENT, Vancouver"
Apartment,Corner Unit,590750,30/10/2017,3,2,935,,New,43,508,3557,"SAWMILL CRESCENT,",Vancouver,"508, 3557 SAWMILL CRESCENT, Vancouver"
Apartment,Corner Unit,590750,30/10/2017,3,2,935,,New,43,508,3557,"SAWMILL CRESCENT,",Vancouver,"508, 3557 SAWMILL CRESCENT, Vancouver"
Apartment,Corner Unit,590750,30/10/2017,3,2,935,,New,43,508,3557,"SAWMILL CRESCENT,",Vancouver,"508, 3557 SAWMILL CRESCENT, Vancouver"
Apartment,Corner Unit,590750,30/10/2017,3,2,935,,New,43,508,3557,"SAWMILL CRESCENT,",Vancouver,"508, 3557 SAWMILL CRESCENT, Vancouver"
Apartment,Corner Unit,590750,30/10/2017,3,2,935,,New,43,508,3557,"SAWMILL CRESCENT,",Vancouver,"508, 3557 SAWMILL CRESCENT, Vancouver"
Apartment,Corner Unit,590750,30/10/2017,3,2,935,,New,43,508,3557,"SAWMILL CRESCENT,",Vancouver,"508, 3557 SAWMILL CRESCENT, Vancouver"
Apartment,Corner Unit,590750,30/10/2017,3,2,935,,New,43,508,3557,"SAWMILL CRESCENT,",Vancouver,"508, 3557 SAWMILL CRESCENT, Vancouver"
Apartment,Corner Unit,590750,30/10/2017,3,2,935,,New,43,508,3557,"SAWMILL CRESCENT,",Vancouver,"508, 3557 SAWMILL CRESCENT, Vancouver"
Apartment,1 Storey,467500,13/04/2017,2,1,665,,New,21,302,3557,"SAWMILL CRESCENT,",Vancouver,"302, 3557 SAWMILL CRESCENT, Vancouver"
Apartment,1 Storey,467500,13/04/2017,2,1,665,,New,21,302,3557,"SAWMILL CRESCENT,",Vancouver,"302, 3557 SAWMILL CRESCENT, Vancouver"
Apartment,Upper Unit,471750,14/08/2017,2,1,665,,New,57,607,3557,"SAWMILL CRESCENT,",Vancouver,"607, 3557 SAWMILL CRESCENT, Vancouver"
Apartment,Upper Unit,635800,11/07/2017,3,1,875,,New,10,701,3557,"SAWMILL CRESCENT,",Vancouver,"701, 3557 SAWMILL CRESCENT, Vancouver"
Apartment,Upper Unit,509150,11/07/2017,2,1,685,,New,15,1010,3557,"SAWMILL CRESCENT,",Vancouver,"1010, 3557 SAWMILL CRESCENT, Vancouver"
House,"1 Storey, Basement Entry",1079500,16/02/2017,5,3,1861,0.08,34,223,,3556,"WILLIAM STREET,",Vancouver,"3556 WILLIAM STREET, Vancouver"
Apartment,"1 Storey, Inside Unit",448800,17/03/2018,2,1,698,,12,12,304,3551,"FOSTER AVENUE,",Vancouver,"304, 3551 FOSTER AVENUE, Vancouver"
Apartment,Corner Unit,535500,11/07/2017,3,2,796,,11,8,208,3551,"FOSTER AVENUE,",Vancouver,"208, 3551 FOSTER AVENUE, Vancouver"
Apartment,Corner Unit,535500,11/07/2017,3,2,796,,11,8,208,3551,"FOSTER AVENUE,",Vancouver,"208, 3551 FOSTER AVENUE, Vancouver"
Apartment,Corner Unit,535500,11/07/2017,3,2,796,,11,8,208,3551,"FOSTER AVENUE,",Vancouver,"208, 3551 FOSTER AVENUE, Vancouver"
Apartment,Corner Unit,535500,11/07/2017,3,2,796,,11,8,208,3551,"FOSTER AVENUE,",Vancouver,"208, 3551 FOSTER AVENUE, Vancouver"
Apartment,Corner Unit,616250,28/12/2017,3,2,917,,11,6,201,3551,"FOSTER AVENUE,",Vancouver,"201, 3551 FOSTER AVENUE, Vancouver"
Apartment,Corner Unit,629000,14/12/2017,3,2,1043,,11,7,207,3551,"FOSTER AVENUE,",Vancouver,"207, 3551 FOSTER AVENUE, Vancouver"
House,2 Storey,1632000,16/01/2017,6,4,2208,0.08,38,47,,3545,"DUNBAR STREET,",Vancouver,"3545 DUNBAR STREET, Vancouver"
House,2 Storey,1955000,16/03/2018,4,3,2249,0.08,43,4,,3531,"BLENHEIM STREET,",Vancouver,"3531 BLENHEIM STREET, Vancouver"
Apartment,1 Storey,492915,19/09/2017,2,1,600,,New,66,P304,3530,"SAWMILL CRESCENT,",Vancouver,"P304, 3530 SAWMILL CRESCENT, Vancouver"
Townhouse,"1 Storey, Corner Unit",688415,14/08/2017,3,2,920,,New,62,M501,3530,"SAWMILL CRESCENT,",Vancouver,"M501, 3530 SAWMILL CRESCENT, Vancouver"
Apartment,"1 Storey, Inside Unit",509915,30/07/2017,2,1,630,,New,57,P307,3530,"SAWMILL CRESCENT,",Vancouver,"P307, 3530 SAWMILL CRESCENT, Vancouver"
Apartment,"2 Storey, Ground Level Unit",892415,22/07/2017,3,2,1200,,New,10,105,3530,"SAWMILL CRESCENT,",Vancouver,"105, 3530 SAWMILL CRESCENT, Vancouver"
Apartment,1 Storey,969765,11/05/2017,4,2,1095,,New,39,H2302,3530,"SAWMILL CRESCENT,",Vancouver,"H2302, 3530 SAWMILL CRESCENT, Vancouver"
Apartment,1 Storey,509915,10/11/2017,2,1,620,,New,69,P303,3530,"SAWMILL CRESCENT,",Vancouver,"P303, 3530 SAWMILL CRESCENT, Vancouver"
Apartment,"1 Storey, Corner Unit",705415,10/06/2017,3,2,890,,New,8,H801,3530,"SAWMILL CRESCENT,",Vancouver,"H801, 3530 SAWMILL CRESCENT, Vancouver"
House,2 Storey w/Bsmt.,1249500,22/03/2018,6,4,2437,0.09,26,59,,3528,"OXFORD STREET,",Vancouver,"3528 OXFORD STREET, Vancouver"
House,Rancher w/Bsmt.,1185750,16/12/2017,7,3,2202,0.1,Old,16,,3525,"HULL STREET,",Vancouver,"3525 HULL STREET, Vancouver"
Apartment,"Corner Unit, Upper Unit",447950,08/08/2018,2,1,716,,18,7,1602,3520,"CROWLEY DRIVE,",Vancouver,"1602, 3520 CROWLEY DRIVE, Vancouver"
Apartment,Upper Unit,257550,22/03/2018,1,1,412,,18,24,805,3520,"CROWLEY DRIVE,",Vancouver,"805, 3520 CROWLEY DRIVE, Vancouver"
Apartment,1 Storey,429250,05/07/2018,2,1,701,,18,6,410,3520,"CROWLEY DRIVE,",Vancouver,"410, 3520 CROWLEY DRIVE, Vancouver"
Apartment,Upper Unit,418200,11/10/2017,2,1,678,,17,115,1107,3520,"CROWLEY DRIVE,",Vancouver,"1107, 3520 CROWLEY DRIVE, Vancouver"
Apartment,Upper Unit,423300,16/08/2017,2,1,575,,17,21,703,3520,"CROWLEY DRIVE,",Vancouver,"703, 3520 CROWLEY DRIVE, Vancouver"
Apartment,Upper Unit,420750,26/12/2017,2,1,610,,17,0,1201,3520,"CROWLEY DRIVE,",Vancouver,"1201, 3520 CROWLEY DRIVE, Vancouver"
Apartment,"Other, Upper Unit",607750,13/11/2017,2,1,626,,11,33,,3507,"CITADEL PARADE,",Vancouver,"3507 CITADEL PARADE, Vancouver"
Apartment,"1 Storey, Corner Unit",726750,19/09/2017,4,2,1074,,New,34,609,3488,"W SAWMILL CRESCENT,",Vancouver,"609, 3488 W SAWMILL CRESCENT, Vancouver"
Apartment,Upper Unit,654075,16/12/2017,3,2,898,,26,55,304,3480,"MAIN STREET,",Vancouver,"304, 3480 MAIN STREET, Vancouver"
Apartment,Upper Unit,654075,16/12/2017,3,2,898,,26,55,304,3480,"MAIN STREET,",Vancouver,"304, 3480 MAIN STREET, Vancouver"
Apartment,Ground Level Unit,334050,15/09/2017,2,1,550,,25,5,111,3480,"YARDLEY AVENUE,",Vancouver,"111, 3480 YARDLEY AVENUE, Vancouver"
Apartment,"End Unit, Ground Level Unit",820250,16/12/2017,3,2,1160,,25,9,101,3480,"MAIN STREET,",Vancouver,"101, 3480 MAIN STREET, Vancouver"
Townhouse,2 Storey,556750,16/03/2017,3,2,873,,20,26,15,3477,"COMMERCIAL STREET,",Vancouver,"15, 3477 COMMERCIAL STREET, Vancouver"
Townhouse,2 Storey,556750,16/03/2017,3,2,873,,20,26,15,3477,"COMMERCIAL STREET,",Vancouver,"15, 3477 COMMERCIAL STREET, Vancouver"
Townhouse,2 Storey,556750,16/03/2017,3,2,873,,20,26,15,3477,"COMMERCIAL STREET,",Vancouver,"15, 3477 COMMERCIAL STREET, Vancouver"
Townhouse,2 Storey,556750,16/03/2017,3,2,873,,20,26,15,3477,"COMMERCIAL STREET,",Vancouver,"15, 3477 COMMERCIAL STREET, Vancouver"
Townhouse,2 Storey,556750,16/03/2017,3,2,873,,20,26,15,3477,"COMMERCIAL STREET,",Vancouver,"15, 3477 COMMERCIAL STREET, Vancouver"
Townhouse,2 Storey,556750,16/03/2017,3,2,873,,20,26,15,3477,"COMMERCIAL STREET,",Vancouver,"15, 3477 COMMERCIAL STREET, Vancouver"
Townhouse,Other,625175,10/11/2017,3,2,875,,20,5,23,3477,"COMMERCIAL STREET,",Vancouver,"23, 3477 COMMERCIAL STREET, Vancouver"
House,Rancher,977500,13/05/2017,3,1,1645,0.09,Old,103,,3475,"COPLEY STREET,",Vancouver,"3475 COPLEY STREET, Vancouver"
Apartment,"End Unit, Penthouse",488750,20/03/2018,3,1,832,,41,14,201,3465,"GLEN DRIVE,",Vancouver,"201, 3465 GLEN DRIVE, Vancouver"
Apartment,"1 Storey, Upper Unit",483480,30/04/2017,3,2,880,,22,7,401,3463,"CROWLEY DRIVE,",Vancouver,"401, 3463 CROWLEY DRIVE, Vancouver"
Townhouse,"2 Storey w/Bsmt., Inside Unit",578000,09/08/2017,4,1,1419,,44,6,121,3461,"E 49TH AVENUE,",Vancouver,"121, 3461 E 49TH AVENUE, Vancouver"
Townhouse,"2 Storey w/Bsmt., Inside Unit",578000,09/08/2017,4,1,1419,,44,6,121,3461,"E 49TH AVENUE,",Vancouver,"121, 3461 E 49TH AVENUE, Vancouver"
Townhouse,"2 Storey w/Bsmt., Inside Unit",578000,09/08/2017,4,1,1419,,44,6,121,3461,"E 49TH AVENUE,",Vancouver,"121, 3461 E 49TH AVENUE, Vancouver"
Townhouse,"2 Storey w/Bsmt., Inside Unit",578000,09/08/2017,4,1,1419,,44,6,121,3461,"E 49TH AVENUE,",Vancouver,"121, 3461 E 49TH AVENUE, Vancouver"
Townhouse,"2 Storey w/Bsmt., Inside Unit",578000,09/08/2017,4,1,1419,,44,6,121,3461,"E 49TH AVENUE,",Vancouver,"121, 3461 E 49TH AVENUE, Vancouver"
Townhouse,3 Storey,828750,09/08/2017,3,2,1168,,5,8,,3460,"PORTER STREET,",Vancouver,"3460 PORTER STREET, Vancouver"
Apartment,Upper Unit,378250,20/07/2017,2,1,646,,24,11,707,3455,"ASCOT PLACE,",Vancouver,"707, 3455 ASCOT PLACE, Vancouver"
Apartment,1 Storey,375700,22/12/2017,2,1,549,,24,8,208,3455,"ASCOT PLACE,",Vancouver,"208, 3455 ASCOT PLACE, Vancouver"
Townhouse,3 Storey,595000,26/10/2017,5,2,1370,,45,95,101,3445,"E 49TH AVENUE,",Vancouver,"101, 3445 E 49TH AVENUE, Vancouver"
Townhouse,3 Storey,595000,26/10/2017,5,2,1370,,45,95,101,3445,"E 49TH AVENUE,",Vancouver,"101, 3445 E 49TH AVENUE, Vancouver"
Townhouse,3 Storey,595000,26/10/2017,5,2,1370,,45,95,101,3445,"E 49TH AVENUE,",Vancouver,"101, 3445 E 49TH AVENUE, Vancouver"
